street,district,rooms,area,price,material,condition,year_built,total_floors
Sitsi 14a-4,Põhja-Tallinn,3.0,67.6,164240,kivimaja,uus,2020.0,3.0
Sitsi 14a-3,Põhja-Tallinn,3.0,55.7,144035,kivimaja,uus,2020.0,3.0
Valge tn 10e-6,Lasnamäe,4.0,88.4,209900,kivimaja,uus,2020.0,6.6790013374944275
Lüüsi tn 4-27,Kesklinn,3.0,77.4,189000,kivimaja,uus,2019.0,6.0
Valge tn 16-102,Lasnamäe,4.0,80.5,225000,kivimaja,uus,2019.0,5.0
Remmelga 4-22,Nõmme,3.0,72.7,153900,kivimaja,uus,2020.0,4.0
Valge tn 16-25,Lasnamäe,3.0,51.1,129000,kivimaja,uus,2019.0,5.0
Telliskivi 49-15,Põhja-Tallinn,2.0,41.6,143500,kivimaja,uus,2019.0,4.0
Rõugu tn 22-2,Haabersti,3.0,70.0,141900,kivimaja,uus,2021.0,4.0
Talviku tn 1-23,Kristiine,4.0,76.1,259000,paneelmaja,uus,2020.0,4.0
Oksa tn // Seebi tn 2//4-20,Kristiine,3.0,65.2,179000,kivimaja,uus,2020.0,4.0
Rõugu tn 24-22,Haabersti,4.0,105.4,229900,kivimaja,uus,2021.0,4.0
Ehitajate tee 91/2-11,Mustamäe,2.0,36.5,84900,kivimaja,uus,2020.0,8.0
Falgi tee 6 // Toompuiestee 18-9,Kesklinn,3.0,76.2,189800,palkmaja,uus,2017.0,3.0
Rotermanni 14,Kesklinn,2.0,52.3,249000,kivimaja,renoveeritud,1904.0,7.0
A. H. Tammsaare tee 99,Mustamäe,3.0,60.9,89000,paneelmaja,renoveeritud,1968.0,5.0
HEA PAKKUMINE ÕISMÄEL!,Haabersti,4.0,78.4,105995,paneelmaja,keskmises seisukorras,1976.0,5.0
Valge tn 16-7,Lasnamäe,2.0,40.4,97000,paneelmaja,uus,2019.0,5.0
Alasi 5-7,Põhja-Tallinn,2.0,47.9,121000,kivimaja,uus,2020.0,4.0
Tatari 29,Kesklinn,3.0,85.2,245000,kivimaja,heas korras,2005.0,4.0
Paldiski mnt 82С-23,Haabersti,3.0,76.1,219900,paneelmaja,uus,2019.0,5.0
Tuukri tn 64-59,Kesklinn,4.0,124.9,490000,kivimaja,uus,2018.0,5.0
Sõle 68,Põhja-Tallinn,2.0,36.9,79900,kivimaja,heas korras,1969.0,4.0
Rehe 9,Mustamäe,2.0,62.1,148000,paneelmaja,uus,2018.0,4.0
Killustiku 7,Lasnamäe,3.0,63.9,104900,kivimaja,keskmises seisukorras,1960.0,2.0
F. R. Kreutzwaldi tn 3,Kesklinn,3.0,89.7,259000,kivimaja,keskmises seisukorras,2014.0,6.0
Järve 2-167,Kristiine,2.0,46.7,138800,paneelmaja,uus,2020.0,18.0
Paepargi 50/1-35,Lasnamäe,3.0,63.8,139500,paneelmaja,uus,2020.0,14.0
Paldiski mnt 82С-19,Haabersti,3.0,71.1,163900,paneelmaja,uus,2019.0,5.0
Lembitu 8,Kesklinn,3.0,69.8,165000,kivimaja,renoveeritud,1952.0,5.0
Mäepealse 27-1,Nõmme,2.0,58.3,132500,paneelmaja,uus,2020.0,6.0
Tuukri tn 64-60,Kadriorg,4.0,124.9,490000,kivimaja,uus,2018.0,5.0
Pirita tee 26F,Kesklinn,2.0,79.7,189000,kivimaja,renoveeritud,2003.0,16.0
Paldiski mnt 82B-21,Haabersti,3.0,71.0,163900,paneelmaja,uus,2019.0,6.0
Vesivärava 50,Kesklinn,5.0,153.8,469000,kivimaja,uus,2019.0,9.0
Soodi 4,Põhja-Tallinn,3.0,67.9,177900,kivimaja,uus,2020.0,5.0
Soodi 4-29,Haabersti,2.0,43.9,123000,kivimaja,uus,2020.0,5.0
Pirita tee 20a-B31,Kesklinn,2.0,67.1,215000,paneelmaja,uus,2017.0,10.0
Pöörise 7-4,Mustamäe,3.0,63.7,129000,paneelmaja,uus,2020.0,12.0
Liivaoja 2,Kesklinn,2.0,53.5,144950,kivimaja,uus,2006.0,5.0
Valge tn 16,Kesklinn,1.0,28.8,79900,kivimaja,uus,2020.0,5.0
Sinika 6,Kristiine,3.0,81.0,225000,kivimaja,renoveeritud,2016.0,4.0
Mahtra 40,Lasnamäe,3.0,52.8,83000,paneelmaja,vajab renoveerimist,1982.0,5.0
Pöörise 7-38,Mustamäe,2.0,45.4,99000,paneelmaja,uus,2020.0,12.0
Juurdeveo tn 14,Kesklinn,2.0,36.5,109900,puitmaja,uus,2019.0,2.0
Paepargi 50/2-41,Lasnamäe,2.0,60.8,141500,paneelmaja,uus,2020.0,8.0
Järve 2-211,Kristiine,2.0,43.8,140500,paneelmaja,uus,2020.0,18.0
Valge 6A/1-1,Lasnamäe,5.0,119.5,299000,kivimaja,uus,2019.0,3.0
Paldiski mnt 82D-8,Haabersti,2.0,50.6,129900,paneelmaja,uus,2019.0,5.0
Võru tn 2,Lasnamäe,3.0,64.4,83900,paneelmaja,vajab san. remonti,1980.0,9.0
Järve 2-142,Kristiine,2.0,46.4,131900,paneelmaja,uus,2020.0,18.0
Priisle tee 30-21,Lasnamäe,1.0,32.0,79000,paneelmaja,uus,2019.0,3.0
Puhangu 24,Põhja-Tallinn,2.0,46.3,85000,kivimaja,renoveeritud,1968.0,5.0
Suur-Ameerika 27,Kesklinn,1.0,28.1,75000,puitmaja,renoveeritud,1908.0,2.0
Vabaõhumuuseumi tee 5/1,Haabersti,2.0,71.4,149000,kivimaja,uus,2003.0,12.0
Puhangu 87,Põhja-Tallinn,1.0,39.5,77000,kivimaja,renoveeritud,1996.0,5.0
Võidujooksu 7-31,Lasnamäe,4.0,82.3,174290,kivimaja,uus,2020.0,7.0
Pöörise 7-29,Mustamäe,2.0,45.4,99000,paneelmaja,uus,2020.0,12.0
Õismäe tee 78,Haabersti,3.0,65.8,109000,paneelmaja,renoveeritud,1975.0,9.0
Helme 13A,Põhja-Tallinn,2.0,49.7,135000,kivimaja,renoveeritud,2008.0,5.0
Vana-Kalamaja 20a,Põhja-Tallinn,1.0,36.9,119000,paneelmaja,renoveeritud,1987.0,4.0
Jakobi 27,Kesklinn,2.0,32.3,85000,puitmaja,renoveeritud,1934.0,3.0
Liivalaia 32,Kesklinn,1.0,43.6,116500,kivimaja,renoveeritud,1960.0,5.0
Koidu tn 99-41,Kesklinn,3.0,90.7,295000,kivimaja,uus,2019.0,5.0
Järve 2-171,Kristiine,2.0,58.8,169000,paneelmaja,uus,2020.0,18.0
Vabaõhukooli 76,Pirita,2.0,55.2,118500,kivimaja,heas korras,2005.0,3.0
Koidu tn 99-2,Kesklinn,2.0,55.3,139000,kivimaja,uus,2019.0,5.0
Energia 2-3,Kristiine,3.0,49.2,88500,kivimaja,renoveeritud,1963.0,5.0
Sõle 56,Põhja-Tallinn,3.0,58.2,108000,kivimaja,renoveeritud,1973.0,5.0
Kalaranna tn 8/2-9,Põhja-Tallinn,3.0,64.1,239000,paneelmaja,uus,2020.0,5.0
Paekaare 24,Lasnamäe,2.0,52.9,79900,paneelmaja,renoveeritud,1978.0,5.0
Gonsiori 17a,Kesklinn,4.0,69.0,195000,kivimaja,renoveeritud,1969.0,5.0
Pöörise 7-49,Mustamäe,2.0,49.3,107000,paneelmaja,uus,2020.0,12.0
Lastekodu 39,Kesklinn,2.0,39.9,90000,kivimaja,san. remont tehtud,1964.0,5.0
Raadiku 3,Lasnamäe,2.0,45.9,78500,paneelmaja,renoveeritud,1983.0,5.0
Tööstuse 28a-9,Põhja-Tallinn,2.0,51.0,148000,kivimaja,uus,1949.0,4.0
Võidujooksu 7-8,Lasnamäe,3.0,59.9,133290,kivimaja,uus,2020.0,7.0
Võidujooksu 7-29,Lasnamäe,1.0,29.8,85290,kivimaja,uus,2020.0,7.0
Liikuri 5-14,Lasnamäe,2.0,51.3,119000,paneelmaja,uus,2019.0,8.0
Sinimäe 14,Lasnamäe,3.0,54.3,88000,paneelmaja,renoveeritud,1987.0,5.0
Narva mnt 128,Kesklinn,3.0,77.1,205000,kivimaja,heas korras,2004.0,9.0
Kiikri 2C-89,Kesklinn,4.0,111.6,399000,kivimaja,uus,2018.0,4.0
Valge 6A/1-6,Lasnamäe,4.0,116.9,350000,kivimaja,uus,2020.0,3.0
Roseni 12,Kesklinn,2.0,54.1,185000,kivimaja,uus,2007.0,7.0
