street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Mooni 60,Kristiine,3,59.1,82700,1399,-,vajab renoveerimist,1974,45,4,9
Sitsi 14a-4,Põhja-Tallinn,3,67.6,164240,2430,kivimaja,uus,2020,0,2,3
Räime tn 17,Haabersti,3,73.6,157500,2140,kivimaja,-,2007,12,2,4
Sitsi 14a-3,Põhja-Tallinn,3,55.7,144035,2586,kivimaja,uus,2020,0,2,3
Valge tn 10e-6,Lasnamäe,4,88.4,209900,2374,kivimaja,uus,2020,0,,-
Raua tn 41,Kadriorg,4,104.2,195000,1871,puitmaja,-,1907,112,3,3
Lüüsi tn 4-27,Kesklinn,3,77.4,189000,2442,kivimaja,uus,2019,0,4,6
Valge tn 16-102,Lasnamäe,4,80.5,225000,2795,kivimaja,uus,2019,0,5,5
Remmelga 4-22,Nõmme,3,72.7,153900,2117,kivimaja,uus,2020,0,2,4
Valge tn 16-25,Lasnamäe,3,51.1,129000,2524,kivimaja,uus,2019,0,2,5
Telliskivi 49-15,Põhja-Tallinn,2,41.6,143500,3450,kivimaja,uus,2019,0,2,4
Rõugu tn 22-2,Haabersti,3,70,141900,2027,kivimaja,uus,2021,0,1,4
Talviku tn 1-23,Kristiine,4,76.1,259000,3403,paneelmaja,uus,2020,0,4,4
Oksa tn // Seebi tn 2//4-20,Kristiine,3,65.2,179000,2745,kivimaja,uus,2020,0,4,4
Rõugu tn 24-22,Haabersti,4,105.4,229900,2181,kivimaja,uus,2021,0,4,4
Ehitajate tee 91/2-11,Mustamäe,2,36.5,84900,2326,kivimaja,uus,2020,0,2,8
Falgi tee 6 // Toompuiestee 18-9,Kesklinn,3,76.2,189800,2490,palkmaja,uus,2017,2,2,3
Rotermanni 14,Kesklinn,2,52.3,249000,4761,kivimaja,renoveeritud,1904,115,4,7
A. H. Tammsaare tee 99,Mustamäe,3,60.9,89000,1461,paneelmaja,renoveeritud,1968,51,5,5
HEA PAKKUMINE ÕISMÄEL!,Haabersti,4,78.4,105995,1352,paneelmaja,keskmises seisukorras,1976,43,4,5
Valge tn 16-7,Lasnamäe,2,40.4,97000,2401,paneelmaja,uus,2019,0,1,5
Alasi 5-7,Põhja-Tallinn,2,47.9,121000,2526,kivimaja,uus,2020,0,1,4
Tatari 29,Kesklinn,3,85.2,245000,2876,kivimaja,heas korras,2005,14,3,4
Paldiski mnt 82С-23,Haabersti,3,76.1,219900,2890,paneelmaja,uus,2019,0,5,5
Tuukri tn 64-59,Kesklinn,4,124.9,490000,3923,kivimaja,uus,2018,1,5,5
Sõle 68,Põhja-Tallinn,2,36.9,79900,2165,kivimaja,heas korras,1969,50,2,4
Rehe 9,Mustamäe,2,62.1,148000,2383,paneelmaja,uus,2018,1,2,4
Killustiku 7,Lasnamäe,3,63.9,104900,1642,kivimaja,keskmises seisukorras,1960,59,2,2
F. R. Kreutzwaldi tn 3,Kesklinn,3,89.7,259000,2887,kivimaja,keskmises seisukorras,2014,5,3,6
Järve 2-167,Kristiine,2,46.7,138800,2972,paneelmaja,uus,2020,0,10,18
Paepargi 50/1-35,Lasnamäe,3,63.8,139500,2187,paneelmaja,uus,2020,0,8,14
Paldiski mnt 82С-19,Haabersti,3,71.1,163900,2305,paneelmaja,uus,2019,0,4,5
Lembitu 8,Kesklinn,3,69.8,165000,2364,kivimaja,renoveeritud,1952,67,1,5
Mäepealse 27-1,Nõmme,2,58.3,132500,2273,paneelmaja,uus,2020,0,1,6
Tuukri tn 64-60,Kadriorg,4,124.9,490000,3923,kivimaja,uus,2018,1,5,5
Pirita tee 26F,Kesklinn,2,79.7,189000,2371,kivimaja,renoveeritud,2003,16,2,16
Paldiski mnt 82B-21,Haabersti,3,71,163900,2308,paneelmaja,uus,2019,0,4,6
Liivamäe 4,Kesklinn,5,100,182000,1820,paneelmaja,renoveeritud,-,-,1,9
Vesivärava 50,Kesklinn,5,153.8,469000,3049,kivimaja,uus,2019,0,9,9
Soodi 4,Põhja-Tallinn,3,67.9,177900,2620,kivimaja,uus,2020,0,4,5
Soodi 4-29,Haabersti,2,43.9,123000,2802,kivimaja,uus,2020,0,5,5
Pirita tee 20a-B31,Kesklinn,2,67.1,215000,3204,paneelmaja,uus,2017,2,3,10
Pöörise 7-4,Mustamäe,3,63.7,129000,2025,paneelmaja,uus,2020,0,1,12
Sõpruse pst 232,Mustamäe,3,60.1,87000,1448,paneelmaja,-,1968,51,1,9
Liivaoja 2,Kesklinn,2,53.5,144950,2709,kivimaja,uus,2006,13,4,5
Valge tn 16,Kesklinn,1,28.8,79900,2774,kivimaja,uus,2020,0,3,5
Sinika 6,Kristiine,3,81,225000,2778,kivimaja,renoveeritud,2016,3,2,4
Järveotsa tee 3,Haabersti,2,49.4,52000,1053,paneelmaja,heas korras,-,-,4,9
Mahtra 40,Lasnamäe,3,52.8,83000,1572,paneelmaja,vajab renoveerimist,1982,37,4,5
Sõpruse pst 219,Mustamäe,3,52.4,85900,1639,paneelmaja,-,1969,50,3,5
Pöörise 7-38,Mustamäe,2,45.4,99000,2181,paneelmaja,uus,2020,0,7,12
Juurdeveo tn 14,Kesklinn,2,36.5,109900,3011,puitmaja,uus,2019,0,1,2
Paepargi 50/2-41,Lasnamäe,2,60.8,141500,2327,paneelmaja,uus,2020,0,8,8
Järve 2-211,Kristiine,2,43.8,140500,3208,paneelmaja,uus,2020,0,16,18
Valge 6A/1-1,Lasnamäe,5,119.5,299000,2502,kivimaja,uus,2019,0,1,3
Paldiski mnt 82D-8,Haabersti,2,50.6,129900,2567,paneelmaja,uus,2019,0,3,5
Võru tn 2,Lasnamäe,3,64.4,83900,1303,paneelmaja,vajab san. remonti,1980,39,4,9
Kuldnoka 16,Kristiine,2,46.5,82900,1783,paneelmaja,-,1974,45,1,5
Järve 2-142,Kristiine,2,46.4,131900,2843,paneelmaja,uus,2020,0,6,18
Priisle tee 30-21,Lasnamäe,1,32,79000,2469,paneelmaja,uus,2019,0,1,3
Puhangu 24,Põhja-Tallinn,2,46.3,85000,1836,kivimaja,renoveeritud,1968,51,5,5
Suur-Ameerika 27,Kesklinn,1,28.1,75000,2669,puitmaja,renoveeritud,1908,111,1,2
